minimal sudah aku kabari juga belum bikin rilis soal kebocoran data ini ya;;;-1
iya karena itu memang fitur untuk penjual yang memiliki toko fisik biar bisa mencantumkan kontak dan alamat secara bebas soal dugaan kebocoran data tokopedia itu data publik penjual via;;;0
diduga bocor data juta pelanggan tokopedia dijual online;;;0
kemungkinan telah terjadi kebocoran data pengguna cc;;;0
tokopedia tidak ada kebocoran data pengguna data yang tersebat adalah data umum;;;1
bagaimana bisa perusahaan sebesar tokopedia datanya bisa bocor gw jadi ragu belanja di tokped;;;-1
kepada dan ada nggak pasal pidana di uu ite mengenai masalah kebocoran data konsumen ini;;;-1
diduga bocor data juta pelanggan dijual online vivajika demikian konsekuensi hukum dan inscure bagi konsumen cc;;;0
blm tentu itu kebocoran data bisa aja seller toko di tokped yg jual setiap transaksi ditokped penjual toko mendapat informasi pembeli seperti alamat no telp utk pengiriman barang bisa aja ada seller yg mengumpulkan data ini dan dijual bukan brarti system tokped kebobolan;;;-1
kemungkinan ada seller yg nakal jual data setiap transksi kan seller dpt info nama alamat dan no telp jadi blm tentu kebocoran data;;;0
sy harus mengambil inisiatif ini demi keamanan data pribadi saya agar tidak d salh gunakan oknum yg tdk brtanggung jawab sungguh sy sangat menyayang kan ketelediran pihak shingga kebocoran data pelanggannya;;;-1
min cara hapus akun tokped gimana ya sy mau hapus ngeri berita tokped kebocoran data kemarin;;;-1
mohon diinfokan kesamaan datanya karena saya hanya punya akun jika ada akun yg sama dgn data data yg sama bisa dipastikan bahwa akun saya di hack org tidak bertanggungjawab saya akan laporkan ke jika memang ada kebocoran data;;;-1
jika mengklaim bahwa ada kesamaan data dalam transaksi yg lain saya kebingungan karena hanya punya akun saya sudah berikan no tlp agar dikontak oleh karena nyatanya penjelasan saya lewat tweet diabaikan saya hanya ingin kejelasannya perihal ini;;;-1
saya curiga ada akun lain di yg pakai data data saya jadi ini perlu diinvestigasi kerahasiaan data pelanggan mutlak wajib dijaga jika ada kebocoran harus dilaporkan ke utk ditindaklanjuti mohon kontak saya langsung utk menjelaskannya;;;-1
akun ovo saya dipake transaksi di tokopedia oleh akun toped orang lain dan ngga lama transaksi di toped direfund tapi baliknya ke akun ovo orang lain ada kebocoran data;;;-1
dear tokopedia bagaimana status laporan saya atas kebocoran data cradit card saya saya tidak ada belanja di tgl april tapi kenapa ada transaksi tsb di cradit card saya tokopedia tidak bisa menjaga kerahasiaan data customer data cc saya bisa bocor;;;-1
actor leaked the database of tokopedia a large indonesian technology company specializing in e commerce hack occurred in march and affects users though the hacker said there are many more database contains emails password hashes names;;;0
it appears that millions of tokopedias user data had been stolen in march including user names full names birth dates emails passwords and more the hacker claimed that they have much more than million accounts from the breach;;;0
juta data pengguna tokopedia bocor tokopedia dirundung kabar tak sedap belas;;;0
ada berita tokopedia kebocoran data buru2 tarik saldo;;;-1
menurutku poin yang paling penting yang bisa diambil dari data leak ini adalah nama lengkap email nomor telepon bocor data data itu sangat sensitif nomor telepon bisa dipake buat bajak otp sms tgl lahir bisa buat nembus pertanyaan keamanan;;;0
terkuak juta data pengguna tokopediabocor;;;0
juta data pengguna tokopedia dituding bocor;;;0
tokopedia dikabarkan mengalami masalah keamanan yang mengakibatkan data dari juta pengguna mereka bocor;;;0
belasan juta akun tokopedia bocor di dunia maya bagaimana bisa;;;-1
segera ganti passwordnya untuk ini bener ga;;;-1
geger dugaan bocor juta data pribadi pengguna tokopedia;;;0
guys ngingetin aja lagi ada kasus hacker yg bisa menjangkau password dan keamanan data pribadi kalian diubah malem ini ya kalo bisa seluruh password kalian;;;0
untung ga pake tokped;;;-1
udah valid bang soal ini;;;0
wah tumben tumbenan;;;-1
