Cegah mata rantai Covid,mari kita dirumah saja hingga hari Minggu.....;;;1
aku mohon yaAllah semoga wabah covid menghilang sebelum ramadhan datang ;;;1
Pemprov Papua Naikkan Status Jadi Tanggap Darurat Covid. OPM;;;1
Covid belum nyampe prigen mbak hmm hoax;;;0
Nyuruh orang pintar, lu aja Togog. Itu kerumunan orang bisa nularin covid  lol. Mikir !!!!;;;-1
Pikir balik byk mnde plk nk setelkn lepas covid.;;;0
Selamat pagi, hari jum'at. Jum'at keempat di kala pandemi Covid. Semoga kita semua dikasih kesehatan. Aamiin.;;;1
Hikmah di balik musibah covid, smg para pejabat pemerintahan sadar lbh mengedepankan kekayaan negara utk kesejahteraan rakyat Indonesia, bukan memperkaya diri sendiri, keluarga dan kepentingan golongan. Apalagi membela kepentingan WNA, yg jelas melukai kepentingan rakyat.;;;1
Cegah covid beserta jajaran Polsek Kuranji melakukan aksi peduli berupa pembagian masker gratis bagi pengguna jalan kegiatan ini dilakukan di depan Polsek Kuranji.Kamis (/)Febriputraguci;;;1
Ya Allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang...Ya Allah lindungilah kami dari penyakit berjangkit covid ... Aamiin.. aamiin ya rabbal a'lamin..stay at home.. jangan keluar rumah;;;1
Sah.. Cegah Covid Meluas, Pemerintah Revisi Hari Libur dan Cuti Bersama ;;;1
Cegah Covid, Pemprov dan FKUB Papua Barat Sepakat Adakan Doa Bersama Serentak. OPM;;;1 
DPRD Indramayu Minta BUMD Beri Keringanan Tagihan Kredit hingga Tagihan PDAM |;;;1
pagi... kenapa ya di daerah sy (cipinang besar selatan) rt  rw  nya tdk prnh aware dgn warganya. Setiap ada bantuan tidak pernah transparansi &amp; kejadian covid ini jg tidak ada tindakan semprot disinfektan, dbd jg banyak tp tidak ada fogging. Tp uang kas ttp jalan;;;1
Skrinews  Pdt. JIMMY: MARI BERSAMA MEMERANGI VIRUS CORONA (COVID) DEMI MENJAGA TANAH PAPUA;;;1
